Facility Name,Address,City,Zipcode,Latitude,Longitude,Facility Group,Facility Subgroup,Facility Type
Christ Church International Joseph's House,122-20 Merrill Street,Jamaica,11434,40.682756,-73.770189,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Davidson Av.,1750 Davidson Avenue,Bronx,10453,40.848182,-73.912846,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Spanish Soundview SDA,1822 Lacombe Avenue,Bronx,10473,40.814804,-73.861207,Human Services,Soup Kitchens and Food Pantries,Food Pantry
WSFSH NYC DMH NY/NY I - 129th Street,109 West  129 Street,New York,10027,40.810758,-73.944124,Health Care,Mental Health,Support Mental Health
Murray Hill Neighborhood Assocation,150-20 Barclay Avenue,Flushing,11355,40.761725,-73.812684,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Bethel Prayer Ministries,4262 3 Avenue,Bronx,10457,40.847874,-73.895193,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Family Life Development Center,1476 Bedford Avenue,Brooklyn,11216,40.672945,-73.95458,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Delta,409 West  145 Street,New York,10031,40.824535,-73.945266,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Schermerhorn House,160 Schermerhorn Street,Brooklyn,11201,40.689257,-73.987426,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Acqc,62-07 Woodside Avenue,Woodside,11377,40.744719,-73.902225,Human Services,Soup Kitchens and Food Pantries,Food Pantry
St. Mark the Evangelist Church,65 West  138 Street,New York,10037,40.81588,-73.938684,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Nazarene's Purse,178-13 Jamaica Avenue,Jamaica,11432,40.708247,-73.782944,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Immaculate Conception Church,754 East Gun Hill Road,Bronx,10467,40.876323,-73.864434,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Acqc,161-21 Jamaica Avenue,Jamaica,11432,40.704556,-73.798062,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Whosoever Will Baptist Church,1651 Popham Avenue,Bronx,10453,40.849316,-73.921012,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Williamsburg Health Center,151 Maujer Street,Brooklyn,11206,40.711048,-73.944502,Health Care,Hospitals and Clinics,Ambulatory Health Facility
Gospel Assembly Food Pantry,109-14 Farmers Boulevard,Saint Albans,11412,40.703562,-73.766943,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Lirr Row Stations & Yards,51 Avenue,Elmhurst,11373,40.73509,-73.88677,Transportation,Other Transportation,Transportation Facility
St. Peter's Love Kitchen Pantry,2500 Westchester Avenue,Bronx,10461,40.838527,-73.843826,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Faces NY Inc.,123 West  115 Street,New York,10026,40.802006,-73.951218,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Church Avenue Ext,1353 37 Street,Brooklyn,11218,40.641095,-73.983587,Transportation,Other Transportation,Transportation Facility
Brookville Yard,Brookville Boulevard,Rosedale,11422,40.665585,-73.737409,Transportation,Other Transportation,Transportation Facility
St. Peters Food Pantry,346 West   20 Street,New York,10011,40.744078,-74.001964,Human Services,Soup Kitchens and Food Pantries,Food Pantry
New Hope Pentecostal Church of Jesus Christ,1838 Park Place,Brooklyn,11233,40.671428,-73.916433,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Reaching Out Community Service,7708 New Utrecht Avenue,Brooklyn,11214,40.614013,-74.000722,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Iris House West Side Food Pantry,2348 7 Avenue,New York,10030,40.81712,-73.942839,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Yeshiva Kehilath Yakov,206 Wilson Street,Brooklyn,11211,40.706895,-73.959662,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Gethsemane SDA Church,357 Empire Boulevard,Brooklyn,11225,40.664236,-73.950035,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Door To Life Ministry,155 Jamaica Avenue,Brooklyn,11207,40.67964,-73.894672,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Sunnyside Community Services,43-31 39 Street,Sunnyside,11104,40.745095,-73.925614,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
The Salvation Army Jamaica Citadel,90-23 161 Street,Jamaica,11432,40.704861,-73.798697,Human Services,Soup Kitchens and Food Pantries,Food Pantry
United Presbyterian Church of Ridgewood,78-15 78 Street,Ridgewood,11385,40.704255,-73.872033,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Immaculata Hall Sro,90-10 150 Street,Jamaica,11435,40.703395,-73.805317,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Deliverance Temple Church,134-10 Rockaway Boulevard,South Ozone Park,11420,40.674377,-73.804093,Human Services,Soup Kitchens and Food Pantries,Food Pantry
W. 140th St.,140 West  140 Street,New York,10030,40.817888,-73.94058,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Project Lead,84-17 Abingdon Road,Kew Gardens,11415,40.707029,-73.830895,Human Services,Soup Kitchens and Food Pantries,Food Pantry
JASA/Geriatric Mental Health Outreach Service,1 Fordham Plaza,Bronx,10458,40.860386,-73.890064,Health Care,Mental Health,Outpatient Mental Health
Holy Cross Church Food Pantry,2530 Church Avenue,Brooklyn,11226,40.650367,-73.953521,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Dekalb Avenue,910 Dekalb Avenue,Brooklyn,11221,40.692569,-73.939434,Human Services,Permanent Supportive SRO Housing,Supportive Housing
St. Michael's Church,136-76 41 Avenue,Flushing,11355,40.758996,-73.826736,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Community League of the Heights,508 West  159 Street,New York,10032,40.834276,-73.941863,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Yeshiva Ohel Moshe,7914 Bay Parkway,Brooklyn,11214,40.605743,-73.990507,Human Services,Soup Kitchens and Food Pantries,Food Pantry
JBFCS Brooklyn PROS Possibilities,195 Montague Street,Brooklyn,11201,40.69434,-73.991283,Health Care,Mental Health,Outpatient Mental Health
Greenpoint Reformed Church,136 Milton Street,Brooklyn,11222,40.729196,-73.954971,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Staten Island Liberian Community,180 Park Hill Avenue,Staten Is,10304,40.614856,-74.081619,Human Services,Soup Kitchens and Food Pantries,Food Pantry
New York Weill Cornell Center Child and Adolescent Clinic,525 East   68 Street,New York,10065,40.764721,-73.953919,Health Care,Mental Health,Outpatient Mental Health
Steinway Community Services,38-11 Broadway,Astoria,11103,40.759292,-73.91908,Health Care,Mental Health,Outpatient Mental Health
St. Theresa of Avila Community Service,109-26 130 Street,South Ozone Park,11420,40.683854,-73.813392,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Hill House,1616 Grand Avenue,Bronx,10453,40.846487,-73.915862,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Hughes Gardens,2031 Hughes Avenue,Bronx,10457,40.848226,-73.89129,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Ace - Css,14 East   28 Street,New York,10016,40.744,-73.986572,Health Care,Mental Health,Support Mental Health
Shiloh Temple Pentecostal Church,719 East  223 Street,Bronx,10466,40.886323,-73.860429,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Shalom Senior Center,483 Albany Avenue,Brooklyn,11203,40.663386,-73.939679,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Project Hospitality Inc.,514 Bay Street,Staten Island,10301,40.638187,-74.075912,Human Services,Soup Kitchens and Food Pantries,Food Pantry
St. Mary's/Prosp Pl,1534 Prospect Place,Brooklyn,11213,40.672775,-73.9258,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Beth Hark Christian Counseling Center,1832 Madison Avenue,New York,10035,40.802484,-73.94378,Human Services,Soup Kitchens and Food Pantries,Food Pantry
The Salvation Army Stapleton,15 Broad Street,Staten Is,10304,40.625811,-74.075702,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Christian Crossroads,130 Watkins Street,Brooklyn,11212,40.66964,-73.908139,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Forest Hills Senior Center,108-25 62 Drive,Forest Hills,11375,40.7363,-73.850126,Human Services,Soup Kitchens and Food Pantries,Food Pantry
New Pilgrim Community Baptist Church,490 East  165 Street,Bronx,10456,40.826638,-73.908922,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Mission Assembly Pentecostal,118 Bushwick Avenue,Brooklyn,11206,40.711307,-73.940719,Human Services,Soup Kitchens and Food Pantries,Food Pantry
New Settlement Apartments' Multicultural After School Program,1512 Townsend Avenue,Bronx,10452,40.842064,-73.914899,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Presbyterian Senior Services,644 Adee Avenue,Bronx,10467,40.869207,-73.869034,Human Services,Senior Services,Neighborhood Senior Centers
St. Joseph Roman Catholic Church,43-19 30 Avenue,Astoria,11103,40.762673,-73.911802,Human Services,Soup Kitchens and Food Pantries,Food Pantry
First Church of God in Christ,187-10 Baisley Boulevard,Saint Albans,11412,40.690194,-73.762932,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Claremont,1431 College Avenue,Bronx,10456,40.838504,-73.910269,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Community Center of Immigrants,215 Audubon Avenue,New York,10033,40.845221,-73.934579,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Family Resource Center - Bronx Zone 2,975 Kelly Street,Bronx,10459,40.822006,-73.896306,Health Care,Mental Health,Support Mental Health
Bay Ridge Community Service Center,411 Ovington Avenue,Brooklyn,11209,40.633699,-74.023314,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Fraternite Notre Dame,2290 1 Avenue,New York,10035,40.797019,-73.934351,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Bay 50th Street,Avenue X,Brooklyn,11223,40.588796,-73.98293,Transportation,Other Transportation,Transportation Facility
ICNA Relief USA,87-91 144 Street,Jamaica,11435,40.70451,-73.811595,Human Services,Soup Kitchens and Food Pantries,Food Pantry
South Brooklyn SDA Church Community Service,42 Prospect Place,Brooklyn,11217,40.679581,-73.976623,Human Services,Soup Kitchens and Food Pantries,Food Pantry
El Cemi,250 East  117 Street,New York,10035,40.797665,-73.937677,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Brooks Senior Center,143-22 109 Avenue,Jamaica,11435,40.688496,-73.802992,Human Services,Senior Services,Neighborhood Senior Centers
Razi School,55-11 Queens Boulevard,Woodside,11377,40.742526,-73.909623,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
GMHC Food Pantry,446 West   33 Street,New York,10001,40.753385,-73.99842,Human Services,Soup Kitchens and Food Pantries,Food Pantry
PS 273,88-07 102 Street,Richmond Hill,11418,40.693615,-73.844345,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Worldwide Movement Father Son and the Holy Spirit,625 East  180 Street,Bronx,10457,40.849274,-73.890725,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Upper Room International Ministries,708 Beach   19 Street,Far Rockaway,11691,40.601518,-73.751476,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Geriatric Peer Advocacy,681 Clarkson Avenue,Brooklyn,11203,40.656608,-73.936237,Health Care,Mental Health,Support Mental Health
Stella,575 West  155 Street,New York,10032,40.832722,-73.94508,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Richard Salyer House,560 West  165 Street,New York,10032,40.838778,-73.940943,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Center For Family Life,443 39 Street,Brooklyn,11232,40.652075,-74.00477,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Jamaica SDA Church,88-28 163 Street,Jamaica,11432,40.707851,-73.799129,Human Services,Soup Kitchens and Food Pantries,Food Pantry
"Food First, Inc.",165 Conover Street,Brooklyn,11231,40.678273,-74.013604,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Bronx Children's Mobile Crisis,489 East  153 Street,Bronx,10455,40.818416,-73.913747,Health Care,Mental Health,Emergency Mental Health
Our Lady of Sorrows,213 Stanton Street,New York,10002,40.719399,-73.982428,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Employment Program,150-10 Hillside Avenue,Jamaica,11432,40.706535,-73.806025,Health Care,Mental Health,Support Mental Health
Father's Heart Ministries,543 East   11 Street,New York,10009,40.727884,-73.979868,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Humanity Service Inc,92-17 101 Avenue,Ozone Park,11416,40.683935,-73.847965,Human Services,Soup Kitchens and Food Pantries,Food Pantry
575 5th Ave,575 5 Avenue,Brooklyn,11215,40.665022,-73.98945,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Fort Greene Council,2702 Linden Boulevard,Brooklyn,11208,40.668761,-73.864565,Human Services,Senior Services,Neighborhood Senior Centers
Capital Hall,166 West   87 Street,New York,10024,40.787924,-73.97401,Human Services,Permanent Supportive SRO Housing,Supportive Housing
The Voices of Hagar,95-18 Northern Boulevard,Jackson Heights,11372,40.756605,-73.872406,Human Services,Soup Kitchens and Food Pantries,Food Pantry
St. Francis IIi,148 8 Avenue,New York,10011,40.741747,-74.0007,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Harlem Community Nutritional Services,132 West  125 Street,New York,10027,40.808112,-73.947406,Human Services,Soup Kitchens and Food Pantries,Food Pantry
St. Paul's Lutheran Church,1891 Mc Graw Avenue,Bronx,10462,40.834671,-73.862363,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Iris House Eastside,2271 2 Avenue,New York,10035,40.797505,-73.937753,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Stapleton UAME Church,49 Tompkins Avenue,Staten Is,10304,40.623378,-74.078684,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Gethsemane Baptist Church,771 Fairmount Place,Bronx,10460,40.84308,-73.889476,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Cecil,208 West  118 Street,New York,10026,40.804646,-73.952413,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Islamic Society of Bay Ridge,6807 5 Avenue,Brooklyn,11220,40.633752,-74.020605,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Mirabel Sisters School - SBMH,4600 Broadway,New York,10040,40.860897,-73.930016,Health Care,Mental Health,Support Mental Health
Hope City Empowerment Center,650 Washington Avenue,Brooklyn,11238,40.678872,-73.96425,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Give Them To Eat,800 East  156 Street,Bronx,10455,40.817439,-73.904431,Human Services,Soup Kitchens and Food Pantries,Food Pantry
South Richmond ACT,777 Seaview Avenue,Staten Is,10305,40.583461,-74.082576,Health Care,Mental Health,Outpatient Mental Health
Urban Assembly Unison School,170 Gates Avenue,Brooklyn,11238,40.684469,-73.960498,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Gateway Counseling Center Continuing Day Treatment Program,735 East  239 Street,Bronx,10466,40.899573,-73.851556,Health Care,Mental Health,Outpatient Mental Health
School Based Mental Health,4600 Broadway,New York,10040,40.860897,-73.930016,Health Care,Mental Health,Support Mental Health
Corona SDA Church,35-30 103 Street,Corona,11368,40.753795,-73.865001,Human Services,Soup Kitchens and Food Pantries,Food Pantry
P.S. 140 Nathan Strauss/01m140,123 Ridge Street,New York,10002,40.7191,-73.983552,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Our Lady Of Solace,2866 West   17 Street,Brooklyn,11224,40.577229,-73.985107,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
City of Faith Church of God,3453 White Plains Road,Bronx,10467,40.876908,-73.867423,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Muhlenburg Res.,510 Atlantic Avenue,Brooklyn,11217,40.685327,-73.981406,Human Services,Permanent Supportive SRO Housing,Supportive Housing
The Salvation Army Bronx Citadel,425 East  159 Street,Bronx,10451,40.822757,-73.913389,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Franklin Avenue,1363 Franklin Avenue,Bronx,10456,40.833253,-73.901129,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Montefiore Medical Center,1 Fordham Plaza,Bronx,10458,40.860386,-73.890064,Health Care,Other Health Care,Long Term Home Health Care Program
Y After School At PS 165,234 West  109 Street,New York,10025,40.802609,-73.96598,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Blessed Virgin Mary St. Mary's Winfield,70-31 48 Avenue,Woodside,11377,40.738517,-73.892852,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Sephardic Multi Services Senior Citizen Center Inc,485 Kings Highway,Brooklyn,11223,40.604498,-73.971537,Human Services,Senior Services,Neighborhood Senior Centers
Dr. Eugene D. Glynn/YCL Counseling Center,5030 Broadway,New York,10034,40.868834,-73.916582,Health Care,Mental Health,Outpatient Mental Health
J.U.S.T.I.C.E. Organization,87-43 164 Street,Jamaica,11432,40.70908,-73.79898,Human Services,Soup Kitchens and Food Pantries,Food Pantry
"Jhb HSng. Inc., Sro Res.",1316 Boston Road,Bronx,10456,40.831445,-73.899371,Human Services,Permanent Supportive SRO Housing,Supportive Housing
OMH Support - HUD City Wide Beds,1775 Grand Concourse,Bronx,10453,40.846499,-73.910377,Health Care,Mental Health,Support Mental Health
Westbourne,930 West End Avenue,New York,10025,40.801171,-73.968396,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Emmaus House Inc.,160 West  120 Street,New York,10027,40.805299,-73.950012,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Thorpe Family Residence,406 East  184 Street,Bronx,10458,40.856392,-73.894726,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Crossroads Community Services Inc.,108 East   51 Street,New York,10022,40.757236,-73.973082,Human Services,Soup Kitchens and Food Pantries,Food Pantry
